Entity,Code,Day,Moderna,Oxford/AstraZeneca,Pfizer/BioNTech,Sinovac,Johnson&Johnson
France,FRA,2021-03-26,661005,2109642,7575041,0,0
France,FRA,2021-03-27,678022,2176642,7699785,0,0
France,FRA,2021-03-28,688548,2182753,7746010,0,0
France,FRA,2021-03-29,711387,2235934,7920443,0,0
France,FRA,2021-03-30,741513,2327694,8147177,0,0
France,FRA,2021-03-31,775045,2389895,8381253,0,0
France,FRA,2021-04-01,816785,2474250,8653126,0,0
France,FRA,2021-04-02,853465,2559857,8900781,0,0
France,FRA,2021-04-03,874303,2595054,9044925,0,0
France,FRA,2021-04-04,884771,2598405,9094486,0,0
France,FRA,2021-04-05,897535,2602608,9145591,0,0
France,FRA,2021-04-06,931147,2631437,9403180,0,0
France,FRA,2021-04-07,968268,2662918,9700048,0,0
France,FRA,2021-04-08,1012652,2740398,10026999,0,0
France,FRA,2021-04-09,1053891,2900045,10340751,0,0
France,FRA,2021-04-10,1082566,2974535,10528249,0,0
France,FRA,2021-04-11,1094565,2981567,10597322,0,0
France,FRA,2021-04-12,1121989,3032092,10863730,0,0
France,FRA,2021-04-13,1156640,3117139,11185604,0,0
France,FRA,2021-04-14,1190507,3183714,11507839,0,0
France,FRA,2021-04-15,1232864,3275300,11846976,0,0
France,FRA,2021-04-16,1272646,3386215,12169256,0,0
France,FRA,2021-04-17,1307947,3438472,12354846,0,0
France,FRA,2021-04-18,1328043,3447892,12410342,0,0
France,FRA,2021-04-19,1360536,3472436,12688527,0,0
France,FRA,2021-04-20,1401072,3517427,13017838,0,0
France,FRA,2021-04-21,1440816,3555693,13349975,0,0
France,FRA,2021-04-22,1488349,3609665,13711439,0,0
France,FRA,2021-04-23,1537454,3679350,14053817,0,406
France,FRA,2021-04-24,1576969,3716468,14271026,0,1953
France,FRA,2021-04-25,1594852,3722472,14351858,0,2065
France,FRA,2021-04-26,1628368,3741849,14658978,0,4826
France,FRA,2021-04-27,1670017,3775969,15026446,0,14010
Germany,DEU,2020-12-27,0,0,24470,0,0
Germany,DEU,2020-12-28,0,0,42811,0,0
Germany,DEU,2020-12-29,0,0,92147,0,0
Germany,DEU,2020-12-30,0,0,154498,0,0
Germany,DEU,2020-12-31,0,0,204544,0,0
Germany,DEU,2021-01-01,0,1,223815,0,0
Germany,DEU,2021-01-02,0,1,276855,0,0
Germany,DEU,2021-01-03,0,1,301062,0,0
Germany,DEU,2021-01-04,0,1,349452,0,0
Germany,DEU,2021-01-05,1,1,403511,0,0
Germany,DEU,2021-01-06,7,3,466362,0,0
Germany,DEU,2021-01-07,11,3,522092,0,0
Germany,DEU,2021-01-08,59,3,585533,0,0
Germany,DEU,2021-01-09,59,3,646899,0,0
Germany,DEU,2021-01-10,59,3,682171,0,0
Germany,DEU,2021-01-11,60,3,749389,0,0
Germany,DEU,2021-01-12,60,5,831802,0,0
Germany,DEU,2021-01-13,857,5,942581,0,0
Germany,DEU,2021-01-14,5485,5,1020668,0,0
Germany,DEU,2021-01-15,10923,24,1106612,0,0
Germany,DEU,2021-01-16,12695,24,1162298,0,0
Germany,DEU,2021-01-17,14000,25,1209363,0,0
Germany,DEU,2021-01-18,18035,26,1287474,0,0
Germany,DEU,2021-01-19,21505,76,1399058,0,0
Germany,DEU,2021-01-20,24256,80,1528086,0,0
Germany,DEU,2021-01-21,26968,80,1630325,0,0
Germany,DEU,2021-01-22,29011,92,1730556,0,0
Germany,DEU,2021-01-23,29394,93,1815730,0,0
Germany,DEU,2021-01-24,29638,97,1865421,0,0
Germany,DEU,2021-01-25,31360,99,1957825,0,0
Germany,DEU,2021-01-26,33012,105,2055237,0,0
Germany,DEU,2021-01-27,34969,113,2164345,0,0
Germany,DEU,2021-01-28,36604,114,2254177,0,0
Germany,DEU,2021-01-29,38009,179,2361057,0,0
Germany,DEU,2021-01-30,38883,180,2447909,0,0
Germany,DEU,2021-01-31,39259,180,2505560,0,0
Germany,DEU,2021-02-01,41470,237,2625139,0,0
Germany,DEU,2021-02-02,44338,251,2752799,0,0
Germany,DEU,2021-02-03,50727,271,2906083,0,0
Germany,DEU,2021-02-04,56602,277,3032033,0,0
Germany,DEU,2021-02-05,63000,284,3170724,0,0
Germany,DEU,2021-02-06,65466,285,3268180,0,0
Germany,DEU,2021-02-07,67815,287,3320085,0,0
Germany,DEU,2021-02-08,71674,311,3426341,0,0
Germany,DEU,2021-02-09,75557,421,3555371,0,0
Germany,DEU,2021-02-10,79422,7460,3693930,0,0
Germany,DEU,2021-02-11,86714,22913,3813911,0,0
Germany,DEU,2021-02-12,96587,37165,3945511,0,0
Germany,DEU,2021-02-13,99635,50004,4037917,0,0
Germany,DEU,2021-02-14,102037,57354,4093172,0,0
Germany,DEU,2021-02-15,106850,72087,4200504,0,0
Germany,DEU,2021-02-16,112522,95609,4306668,0,0
Germany,DEU,2021-02-17,120473,115373,4429091,0,0
Germany,DEU,2021-02-18,128409,139799,4539992,0,0
Germany,DEU,2021-02-19,138209,165006,4658167,0,0
Germany,DEU,2021-02-20,142679,186633,4746334,0,0
Germany,DEU,2021-02-21,145907,201938,4813621,0,0
Germany,DEU,2021-02-22,155005,226960,4939905,0,0
Germany,DEU,2021-02-23,162162,254353,5072188,0,0
Germany,DEU,2021-02-24,169898,289678,5204485,0,0
Germany,DEU,2021-02-25,176544,340884,5335315,0,0
Germany,DEU,2021-02-26,185261,401306,5475059,0,0
Germany,DEU,2021-02-27,189452,452814,5567966,0,0
Germany,DEU,2021-02-28,193408,494580,5630375,0,0
Germany,DEU,2021-03-01,202860,551973,5758885,0,0
Germany,DEU,2021-03-02,212975,620866,5899404,0,0
Germany,DEU,2021-03-03,226762,693669,6056159,0,0
Germany,DEU,2021-03-04,240739,779999,6198497,0,0
Germany,DEU,2021-03-05,254060,888151,6345584,0,0
Germany,DEU,2021-03-06,262656,971199,6456316,0,0
Germany,DEU,2021-03-07,269393,1032327,6538687,0,0
Germany,DEU,2021-03-08,280391,1124495,6674241,0,0
Germany,DEU,2021-03-09,293122,1221709,6814370,0,0
Germany,DEU,2021-03-10,304546,1335941,6971978,0,0
Germany,DEU,2021-03-11,317769,1454985,7121011,0,0
Germany,DEU,2021-03-12,335292,1607807,7273669,0,0
Germany,DEU,2021-03-13,345031,1729637,7388287,0,0
Germany,DEU,2021-03-14,350177,1806005,7477742,0,0
Germany,DEU,2021-03-15,362553,1889406,7630087,0,0
Germany,DEU,2021-03-16,373587,1891313,7796161,0,0
Germany,DEU,2021-03-17,391536,1892712,7981751,0,0
Germany,DEU,2021-03-18,409703,1894284,8156642,0,0
Germany,DEU,2021-03-19,430040,1932900,8340899,0,0
Germany,DEU,2021-03-20,445283,2001301,8477323,0,0
Germany,DEU,2021-03-21,454492,2053552,8581926,0,0
Germany,DEU,2021-03-22,478131,2130396,8747447,0,0
Germany,DEU,2021-03-23,497838,2227624,8927524,0,0
